provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Aceh,Kab. Aceh Utara,8.4,9.32,103.25,101.28,1.62,109.95,128.92,100.29,2.2407096892759584,2.334083760053417,4.646791860678911,4.627714150422986,0.9631743177730056,4.709079649378603,4.866918876413368,4.6179876896987055
Aceh,Kab. Bener Meriah,8.39,9.32,104.78,102.43,0.67,136.82,102.67,99.71,2.2396452932201716,2.334083760053417,4.6613614656378335,4.638895055389712,0.5128236264286637,4.925948485929061,4.641212777335021,4.612245099660053
Aceh,Kab. Bireuen,10.1,11.43,103.64,100.49,1.47,119.35,82.53,97.29,2.4069451083182885,2.5201129055226197,4.650525887708889,4.619960271460727,0.9042181506398859,4.790404164229081,4.425205848767815,4.587922292578538
Aceh,Kab. Gayo Lues,6.86,7.43,105.47,103.36,0.76,127.27,150.28,100.06,2.061786606441115,2.131796772013764,4.667863255326515,4.647846460268528,0.5653138090500605,4.854137417311759,5.019132424350202,4.615714399863762
Aceh,Kab. Nagan Raya,8.74,9.74,97.65,97.02,1.71,104.97,152.94,104.59,2.2762411176544437,2.3739750890807185,4.591578232468624,4.585171539481402,0.9969486348916096,4.663156035186745,5.036562916106171,4.659563669818423
Aceh,Kab. Pidie,11.21,12.85,101.47,99.61,1.42,107.49,151.07,98.12,2.502255288122613,2.6282852326333477,4.629570072811626,4.611251656303959,0.883767540168595,4.686658002834359,5.024340941152368,4.596331237320887
Aceh,Kab. Pidie Jaya,11.27,12.88,105.14,108.63,1.12,105.05,135.02,103.2,2.50715725872282,2.6304489550786583,4.664758977399749,4.697111059686448,0.7514160886839212,4.663910681010692,4.912801933747493,4.646312129319266
Aceh,Kab. Simeulue,8.65,9.64,98.05,95.04,0.76,102.94,85.91,100.88,2.2669579153508947,2.3646204839134985,4.59562477314456,4.564764771353053,0.5653138090500605,4.643813809580296,4.464873100449369,4.623795650111256
Aceh,Kota Banda Aceh,22.58,29.62,101.38,101.67,8.22,102.09,93.51,100.86,3.160398895109225,3.4216533902295376,4.628691381029437,4.6315199613108735,2.2213750375685026,4.635602393108293,4.548705649006965,4.623599321456458
Aceh,Kota Langsa,18.95,23.42,105.42,104.48,2.25,112.34,93.06,101.15,2.9932291433358724,3.1954024686825586,4.667393529168224,4.658521361485086,1.1786549963416462,4.730392150741473,4.543932876516902,4.626442321263631
Aceh,Kota Lhokseumawe,7.51,8.26,101.11,93.7,5.24,94.88,116.22,96.36,2.1412419425852827,2.225704048658088,4.6260506635674465,4.550714000192032,1.8309801823813363,4.563097409566184,4.764052511048283,4.578415448679272
Aceh,Kota Sabang,9.05,10.0,98.94,94.34,1.12,71.46,87.97,103.26,2.307572634505085,2.3978952727983707,4.604570005916059,4.55744944977668,0.7514160886839212,4.283034685466931,4.488299234256676,4.64688777933996
Aceh,Kota Subulussalam,9.05,10.06,101.92,96.84,0.91,79.01,62.9,97.64,2.307572634505085,2.403334996094189,4.6339519874135435,4.583333491378917,0.6471032420585385,4.382151626862033,4.157319361383489,4.591476858856089
Bali,Kab. Badung,87.41,695.14,119.09,120.25,78.66,121.61,122.61,100.98,4.481985085417713,6.545550789531874,4.788241461672592,4.7978545298175925,4.377767577753498,4.809008586244295,4.817131447899731,4.62477671562701
Bali,Kab. Bangli,17.39,21.11,98.26,95.32,4.14,101.22,126.86,102.18,2.91180703861623,3.096029994869355,4.5977426701592945,4.567675981560511,1.6370530794670737,4.627127353340134,4.850935915338581,4.636475035816504
Bali,Kab. Buleleng,20.77,26.72,100.28,99.18,9.99,94.95,120.93,99.47,3.080532875246456,3.3221541743217022,4.617888958395866,4.606968567929471,2.39698576841553,4.563827222453709,4.803447109572174,4.609859175474223
Bali,Kab. Gianyar,58.5,141.07,102.22,92.41,44.69,106.44,123.52,93.53,4.085976312551584,4.956319893883986,4.6368626327205815,4.5369984058847574,3.8218794555751803,4.676932552214982,4.824466345573407,4.548917244437293
Bali,Kab. Jembrana,19.78,24.65,108.85,101.11,8.05,139.07,185.52,102.06,3.0339909856710814,3.2445435716167785,4.699115798830619,4.6260506635674465,2.2027647577118348,4.942142297650955,5.22853847194012,4.635311342900078
Bali,Kab. Karangasem,23.22,30.3,105.98,101.08,14.14,134.66,163.11,96.47,3.1871787381249463,3.4436180975461075,4.672641901103104,4.6257568195964796,2.717340248009303,4.9101517555179335,5.100536934691537,4.579544638349119
Bali,Kab. Klungkung,25.58,34.37,113.47,97.46,8.3,134.04,189.2,98.91,3.2801590532850993,3.5658640032173894,4.740312779930385,4.589650374330055,2.2300144001592104,4.905571030847647,5.24807615011129,4.604269780744927
