provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Maluku;Kab. Kepulauan Aru;3.5;3.65;93.93;91.57;0.69;49.97;92.86;99.12
Maluku;Kab. Kepulauan Tanimbar;2.86;2.97;96.06;85.92;0.72;80.79;59.16;93.23
Maluku;Kab. Maluku Barat Daya;5.25;5.58;89.3;89.68;2.42;30.53;31.13;105.33
Maluku;Kab. Maluku Tengah;5.02;5.34;94.75;92.9;1.65;66.33;93.09;99.5
Maluku;Kab. Maluku Tenggara;4.92;5.31;97.08;92.51;1.12;76.03;34.95;93.02
Maluku;Kab. Seram Bagian Barat;2.2;2.32;100.65;88.72;0.96;79.92;104.06;91.16
Maluku;Kab. Seram Bagian Timur;1.72;1.78;103.86;104.29;0.72;114.09;113.99;100.42
Maluku;Kota Ambon;21.26;27.53;101.13;98.96;11.13;126.26;101.92;98.87
Maluku;Kota Tual;4.82;5.22;98.94;94.44;1.38;85.98;102.45;96.61
Maluku Utara;Kab. Halmahera Barat;3.96;4.27;87.33;87.04;0.8;26.71;87.13;103.89
Maluku Utara;Kab. Halmahera Selatan;10.63;11.96;101.87;104.24;7.24;116.36;198.37;99.94
Maluku Utara;Kab. Halmahera Tengah;11.89;13.54;90.22;80.4;2.94;64.24;32.89;89.11
Maluku Utara;Kab. Halmahera Timur;3.63;3.78;95.11;95.69;1.52;36.18;120.77;113.81
Maluku Utara;Kab. Halmahera Utara;11.03;12.54;86.51;84.33;2.11;94.16;46.76;100.49
Maluku Utara;Kab. Kepulauan Sula;2.69;2.78;100.18;103.39;0.97;86.7;92.91;106.81
Maluku Utara;Kab. Pulau Morotai;3.48;3.6;94.01;87.31;0.67;35.38;16.22;98.29
Maluku Utara;Kab. Pulau Taliabu;2.45;2.51;83.93;81.3;0.46;10.47;3.95;99.61
Maluku Utara;Kota Ternate;10.77;12.18;85.0;88.38;7.79;67.05;104.47;103.98
Maluku Utara;Kota Tidore Kepulauan;5.78;6.17;100.17;101.1;1.37;99.53;127.22;105.81
Nusa Tenggara Barat;Kab. Bima;8.35;9.15;99.52;97.31;0.9;95.24;69.16;99.97
Nusa Tenggara Barat;Kab. Dompu;9.84;11.11;102.26;103.12;1.81;122.13;136.42;104.51
Nusa Tenggara Barat;Kab. Lombok Barat;19.19;23.79;98.73;98.22;7.19;92.92;82.72;97.74
Nusa Tenggara Barat;Kab. Lombok Tengah;11.52;13.31;98.58;98.53;6.46;86.21;73.48;99.25
Nusa Tenggara Barat;Kab. Lombok Timur;13.53;15.74;98.42;94.03;2.85;87.56;73.88;93.63
Nusa Tenggara Barat;Kab. Lombok Utara;19.83;25.45;108.38;107.01;13.23;133.25;160.63;98.85
Nusa Tenggara Barat;Kab. Sumbawa;9.43;10.58;96.84;93.99;2.48;79.91;111.71;100.53
Nusa Tenggara Barat;Kab. Sumbawa Barat;9.13;10.13;139.09;151.16;4.44;129.39;134.4;114.23
Nusa Tenggara Barat;Kota Bima;6.65;7.22;98.75;98.93;3.0;94.16;93.07;107.35
Nusa Tenggara Barat;Kota Mataram;28.46;40.54;106.09;104.39;11.19;124.92;116.13;99.14
Nusa Tenggara Timur;Kab. Alor;5.68;6.11;103.34;101.1;1.33;129.13;101.16;97.37
Nusa Tenggara Timur;Kab. Belu;11.77;13.56;101.59;95.6;2.14;119.29;69.49;96.39
Nusa Tenggara Timur;Kab. Ende;6.09;6.57;96.08;95.08;1.53;86.08;51.11;99.55
Nusa Tenggara Timur;Kab. Flores Timur;4.38;4.63;100.86;98.09;1.31;104.97;86.35;96.75
Nusa Tenggara Timur;Kab. Kupang;5.1;5.47;97.88;91.24;2.18;73.06;89.85;96.03
Nusa Tenggara Timur;Kab. Lembata;5.77;6.19;101.72;112.23;1.56;102.95;95.99;107.02
Nusa Tenggara Timur;Kab. Malaka;5.07;5.4;103.37;98.06;1.16;121.94;111.93;99.13
Nusa Tenggara Timur;Kab. Manggarai;8.95;10.01;99.33;99.73;1.95;96.25;66.91;104.9
Nusa Tenggara Timur;Kab. Manggarai Barat;16.98;20.71;93.02;88.23;12.86;74.57;83.69;94.65
Nusa Tenggara Timur;Kab. Manggarai Timur;3.9;4.11;99.94;94.09;1.56;72.74;64.81;99.81
Nusa Tenggara Timur;Kab. Nagekeo;4.68;4.98;98.99;92.57;0.64;83.62;64.63;94.63
Nusa Tenggara Timur;Kab. Ngada;5.91;6.33;100.02;96.97;1.05;96.07;86.33;97.9
Nusa Tenggara Timur;Kab. Rote Ndao;3.78;3.97;101.01;94.14;1.78;118.47;134.06;95.56
Nusa Tenggara Timur;Kab. Sabu Raijua;3.78;3.98;99.95;95.46;0.77;57.45;106.3;97.17
Nusa Tenggara Timur;Kab. Sikka;9.16;10.23;96.74;83.91;2.09;99.82;67.34;98.68
Nusa Tenggara Timur;Kab. Sumba Barat;10.23;11.53;104.66;100.01;4.58;142.32;175.89;98.35
Nusa Tenggara Timur;Kab. Sumba Barat Daya;3.01;3.16;104.61;102.65;1.3;94.92;93.62;98.13
Nusa Tenggara Timur;Kab. Sumba Tengah;2.39;2.51;104.16;97.28;0.88;95.42;90.23;94.78
Nusa Tenggara Timur;Kab. Sumba Timur;8.97;9.99;100.13;91.49;2.45;103.19;85.93;96.1
Nusa Tenggara Timur;Kab. Timor Tengah Selatan;4.02;4.46;96.38;87.3;1.06;85.8;116.95;90.23
Nusa Tenggara Timur;Kab. Timor Tengah Utara;4.9;5.23;96.08;87.79;1.16;85.36;79.36;94.7
Nusa Tenggara Timur;Kota Kupang;16.49;20.08;97.45;95.48;10.94;88.46;102.51;97.67
Papua;Kab. Biak Numfor;1.76;2.03;102.62;99.76;1.03;58.35;85.4;101.28
Papua;Kab. Jayapura;9.23;10.23;98.84;100.31;3.35;89.78;58.07;101.25
Papua;Kab. Keerom;1.23;1.3;105.75;106.72;0.5;119.78;153.96;100.05
Papua;Kab. Kepulauan Yapen;1.77;1.9;100.83;100.57;0.54;62.44;62.04;98.8
Papua;Kab. Mamberamo Raya;0.86;0.97;103.29;105.31;0.19;106.94;52.1;103.23
Papua;Kab. Sarmi;1.59;1.69;104.14;105.77;0.38;208.44;135.55;103.23
Papua;Kab. Supiori;1.55;1.63;105.16;99.47;0.3;135.07;79.85;104.77
Papua;Kab. Waropen;0.44;0.45;101.54;105.26;0.08;36.76;18.08;97.7
Papua;Kota Jayapura;17.35;21.63;101.49;103.19;14.22;105.24;102.17;103.55
Papua Barat;Kab. Fak Fak;1.58;1.63;102.32;100.6;0.63;79.44;110.37;105.3
Papua Barat;Kab. Kaimana;2.3;2.36;101.97;89.35;0.59;120.13;114.91;94.44
Papua Barat;Kab. Manokwari;6.12;6.56;103.57;103.49;3.41;81.1;85.04;97.22
Papua Barat;Kab. Manokwari Selatan;1.17;1.19;109.14;106.16;0.19;135.34;21.51;100.29
Papua Barat;Kab. Pegunungan Arfak;0.59;0.59;103.49;108.37;0.0;168.08;2.4;102.56
Papua Barat;Kab. Teluk Bintuni;3.22;3.33;106.23;102.91;1.98;135.35;102.84;102.93
Papua Barat;Kab. Teluk Wondama;2.58;2.68;108.22;106.33;0.49;81.83;89.01;98.71
Papua Barat Daya;Kab. Maybrat;1.18;1.19;107.56;100.7;0.02;314.66;100.0;98.23
Papua Barat Daya;Kab. Raja Ampat;2.06;2.14;100.34;105.8;0.73;49.84;100.0;105.3
Papua Barat Daya;Kab. Sorong;7.47;8.11;118.98;112.7;1.25;125.51;136.01;98.11
Papua Barat Daya;Kab. Sorong Selatan;2.06;2.13;96.26;94.98;0.16;86.52;47.57;94.69
Papua Barat Daya;Kab. Tambrauw;0.67;0.68;106.82;107.02;0.05;190.77;252.39;95.55
Papua Barat Daya;Kota Sorong;12.84;14.92;107.59;105.21;5.62;134.64;117.94;97.71
Papua Pegunungan;Kab. Jayawijaya;4.94;5.35;103.83;100.79;1.07;300.0;141.02;108.72
Papua Pegunungan;Kab. Lanny Jaya;0.55;0.57;100.35;99.49;0.14;75.25;43.99;101.23
Papua Pegunungan;Kab. Mamberamo Tengah;0.71;0.74;103.82;95.7;0.08;239.38;52.73;102.33
Papua Pegunungan;Kab. Nduga;0.64;0.66;98.44;96.99;0.06;27.1;47.08;97.56
Papua Pegunungan;Kab. Pegunungan Bintang;2.31;2.37;101.32;102.34;0.0;319.93;100.0;102.27
Papua Pegunungan;Kab. Tolikara;0.96;0.99;102.77;99.66;0.15;138.11;72.26;102.81
Papua Pegunungan;Kab. Yahukimo;0.79;0.81;101.77;101.83;0.39;55.44;134.25;105.35
Papua Pegunungan;Kab. Yalimo;1.06;1.09;102.65;111.6;0.5;64.89;217.86;109.43
Papua Selatan;Kab. Asmat;3.54;3.68;101.8;100.44;0.38;172.13;153.06;101.19
Papua Selatan;Kab. Boven Digoel;2.7;2.83;100.08;103.29;0.59;120.28;105.88;109.41
Papua Selatan;Kab. Mappi;3.21;3.33;105.37;109.24;0.22;803.98;131.37;103.6
Papua Selatan;Kab. Merauke;8.64;9.52;102.26;105.03;3.18;127.12;154.09;100.93
Papua Tengah;Kab. Deiyai;9.17;10.14;111.64;110.03;0.44;870.87;112.14;94.05
Papua Tengah;Kab. Dogiyai;1.83;2.03;113.31;107.4;0.32;333.52;129.88;97.68
Papua Tengah;Kab. Intan Jaya;1.59;1.75;112.43;110.53;0.93;123.63;104.61;94.76
Papua Tengah;Kab. Mimika;29.35;41.57;117.98;119.53;4.49;92.01;105.55;101.1
Papua Tengah;Kab. Nabire;7.61;8.84;109.51;108.94;2.73;204.27;175.68;99.37
Papua Tengah;Kab. Paniai;1.8;1.97;109.56;107.71;0.06;248.32;137.62;98.66
Papua Tengah;Kab. Puncak;1.07;1.15;105.97;103.75;0.04;166.13;241.89;100.05
Papua Tengah;Kab. Puncak Jaya;0.96;0.98;97.05;96.96;0.04;45.35;27.06;99.85
Riau;Kab. Bengkalis;15.28;18.04;113.06;100.67;2.64;190.37;100.56;105.12
Riau;Kab. Indragiri Hilir;9.21;10.15;104.27;87.14;2.3;96.4;101.79;100.39
Riau;Kab. Indragiri Hulu;6.95;7.58;124.45;108.61;3.32;95.41;101.93;104.76
Riau;Kab. Kampar;10.92;12.27;108.29;102.85;5.62;107.14;99.78;95.77
Riau;Kab. Kepulauan Meranti;12.26;13.98;90.06;86.41;1.41;46.91;71.18;96.81
Riau;Kab. Kuantan Singingi;13.27;15.31;109.3;101.52;8.65;166.33;223.84;100.11
Riau;Kab. Pelalawan;10.65;11.93;105.88;88.79;5.69;85.38;94.8;106.3
Riau;Kab. Rokan Hilir;6.88;7.39;100.64;97.49;3.23;74.34;74.75;99.84
Riau;Kab. Rokan Hulu;8.05;8.75;110.22;107.76;3.67;109.68;112.11;98.38
Riau;Kab. Siak;27.92;38.74;111.16;101.49;4.68;226.4;93.42;97.36
Riau;Kota Dumai;29.66;42.18;162.77;160.79;18.76;129.7;153.7;101.93
Riau;Kota Pekanbaru;32.34;47.79;101.99;105.4;28.51;92.58;98.99;102.58
Sulawesi Barat;Kab. Majene;9.9;11.0;94.92;94.92;1.21;62.34;68.7;99.77
Sulawesi Barat;Kab. Mamasa;2.16;2.24;97.09;78.78;0.53;46.47;36.68;97.24
Sulawesi Barat;Kab. Mamuju;7.09;8.1;102.63;97.1;2.54;98.23;94.73;97.29
Sulawesi Barat;Kab. Mamuju Tengah;6.43;6.95;103.5;93.71;1.64;112.61;81.5;94.3
Sulawesi Barat;Kab. Pasangkayu;6.44;6.94;103.19;98.6;2.03;130.35;151.17;98.58
Sulawesi Barat;Kab. Polewali Mandar;13.21;15.61;96.88;95.36;2.05;90.47;93.22;99.74
Sulawesi Selatan;Kab. Bantaeng;19.22;24.32;96.83;94.96;6.7;99.74;93.13;100.1
Sulawesi Selatan;Kab. Barru;12.23;13.94;101.56;101.37;2.9;104.14;105.34;102.06
Sulawesi Selatan;Kab. Bone;10.25;11.72;104.16;103.32;3.12;107.98;113.23;101.48
Sulawesi Selatan;Kab. Bulukumba;11.34;12.96;98.12;98.06;2.94;77.05;59.36;102.84
Sulawesi Selatan;Kab. Enrekang;7.13;7.78;95.66;95.56;1.33;49.98;94.92;99.24
Sulawesi Selatan;Kab. Gowa;14.92;17.97;104.82;109.66;8.64;121.15;104.9;105.04
Sulawesi Selatan;Kab. Jeneponto;9.89;11.79;102.15;98.63;1.79;104.18;102.93;96.47
Sulawesi Selatan;Kab. Kepulauan Selayar;8.43;9.33;91.96;88.57;1.51;103.13;76.51;104.65
Sulawesi Selatan;Kab. Luwu;11.55;13.51;105.7;105.56;3.24;141.1;151.3;101.74
Sulawesi Selatan;Kab. Luwu Timur;22.08;29.49;103.75;104.2;13.87;102.62;121.1;103.34
Sulawesi Selatan;Kab. Luwu Utara;8.7;9.7;100.44;102.33;2.0;99.1;71.83;100.58
Sulawesi Selatan;Kab. Maros;20.69;26.08;105.05;102.79;13.08;105.24;114.83;100.7
Sulawesi Selatan;Kab. Pangkajene Kepulauan;11.74;13.56;103.03;103.05;6.31;90.2;90.91;100.4
Sulawesi Selatan;Kab. Pinrang;13.21;15.22;104.38;102.49;3.45;103.52;106.29;100.89
Sulawesi Selatan;Kab. Sidenreng Rappang;13.92;16.28;99.39;93.88;4.05;94.29;84.11;96.24
Sulawesi Selatan;Kab. Sinjai;8.93;9.95;101.58;99.24;1.47;108.91;95.1;100.31
Sulawesi Selatan;Kab. Soppeng;14.31;16.7;105.42;113.91;2.14;107.12;110.84;106.42
Sulawesi Selatan;Kab. Takalar;4.36;4.97;98.89;97.66;2.46;43.24;42.03;101.93
Sulawesi Selatan;Kab. Tana Toraja;11.08;12.46;100.3;97.63;1.54;92.73;80.34;97.34
Sulawesi Selatan;Kab. Toraja Utara;4.78;5.11;97.75;97.64;2.18;60.69;85.41;99.59
Sulawesi Selatan;Kab. Wajo;11.08;12.65;103.46;102.74;3.62;108.21;121.58;97.33
Sulawesi Selatan;Kota Makassar;38.73;63.87;84.96;79.8;33.45;66.43;72.09;111.32
Sulawesi Selatan;Kota Palopo;20.57;26.33;94.8;86.96;4.95;80.98;107.16;98.38
Sulawesi Selatan;Kota Pare-pare;20.99;26.9;98.73;97.08;4.73;109.23;105.26;100.17
Sulawesi Tengah;Kab. Banggai;9.59;10.74;98.25;97.61;3.01;90.4;65.8;102.11
Sulawesi Tengah;Kab. Banggai Kepulauan;4.99;5.28;101.4;98.5;0.8;104.85;100.14;102.56
Sulawesi Tengah;Kab. Banggai Laut;4.95;5.25;101.35;105.33;1.08;89.5;43.76;105.01
Sulawesi Tengah;Kab. Buol;8.73;9.71;106.01;110.1;0.91;142.35;101.41;103.86
Sulawesi Tengah;Kab. Donggala;7.19;7.83;107.47;107.91;4.07;188.04;198.33;100.08
Sulawesi Tengah;Kab. Morowali;30.09;43.31;117.56;104.06;15.74;151.72;234.9;102.01
Sulawesi Tengah;Kab. Morowali Utara;10.46;11.77;99.01;100.84;2.92;74.04;53.19;108.06
Sulawesi Tengah;Kab. Parigi Moutong;7.55;8.28;102.49;105.26;1.36;110.12;147.83;104.41
Sulawesi Tengah;Kab. Poso;9.61;10.82;100.26;96.73;1.68;105.05;57.29;102.4
Sulawesi Tengah;Kab. Sigi;6.07;6.54;105.66;105.45;2.32;136.75;135.4;102.68
Sulawesi Tengah;Kab. Tojo Una Una;8.13;8.94;108.83;106.21;1.12;143.47;121.21;99.76
Sulawesi Tengah;Kab. Toli-Toli;10.09;11.38;99.56;95.86;1.71;87.36;54.71;96.29
Sulawesi Tengah;Kota Palu;22.69;29.87;108.21;106.54;13.57;122.12;124.54;109.81
Sulawesi Tenggara;Kab. Bombana;8.2;9.01;102.54;102.88;1.59;118.12;78.93;104.47
Sulawesi Tenggara;Kab. Buton;5.03;5.37;101.72;104.76;0.64;129.1;82.8;104.2
Sulawesi Tenggara;Kab. Buton Selatan;3.28;3.44;103.07;93.82;0.59;167.16;161.6;100.93
Sulawesi Tenggara;Kab. Buton Tengah;2.65;2.77;104.51;98.73;0.84;117.81;120.23;105.98
Sulawesi Tenggara;Kab. Buton Utara;3.2;3.33;101.53;97.94;0.57;103.4;111.04;114.97
Sulawesi Tenggara;Kab. Kolaka;9.86;11.03;114.89;107.33;3.04;105.76;90.62;103.53
Sulawesi Tenggara;Kab. Kolaka Timur;3.11;3.27;103.61;95.79;0.9;94.83;86.65;101.77
Sulawesi Tenggara;Kab. Kolaka Utara;6.11;6.6;107.09;106.29;0.92;130.18;97.2;104.81
Sulawesi Tenggara;Kab. Konawe;10.2;11.47;97.79;100.75;1.92;76.72;29.09;100.81
Sulawesi Tenggara;Kab. Konawe Kepulauan;2.44;2.52;105.69;115.45;0.82;117.03;339.14;109.44
Sulawesi Tenggara;Kab. Konawe Selatan;7.37;8.01;103.34;104.91;3.43;132.4;137.47;115.62
Sulawesi Tenggara;Kab. Konawe Utara;3.1;3.21;101.99;109.54;0.75;84.12;113.49;123.63
Sulawesi Tenggara;Kab. Muna;5.2;5.54;92.19;99.85;0.97;35.62;17.22;106.11
Sulawesi Tenggara;Kab. Muna Barat;2.51;2.63;94.17;100.85;0.61;76.75;71.01;112.19
Sulawesi Tenggara;Kab. Wakatobi;5.65;6.07;103.47;96.02;1.2;146.2;141.92;107.24
Sulawesi Tenggara;Kota Bau-bau;11.14;12.7;95.76;95.44;4.06;76.25;84.54;103.23
Sulawesi Tenggara;Kota Kendari;24.31;32.64;98.32;103.51;14.41;90.29;133.79;106.07
Sulawesi Utara;Kab. Bolaang Mongondow;7.0;7.53;84.02;95.49;4.73;117.52;122.39;117.46
Sulawesi Utara;Kab. Bolaang Mongondow Selatan;3.82;4.0;104.32;107.31;1.34;188.82;146.45;102.38
Sulawesi Utara;Kab. Bolaang Mongondow Timur;3.58;3.74;100.21;98.9;2.27;125.79;130.61;100.2
Sulawesi Utara;Kab. Bolaang Mongondow Utara;2.63;2.77;102.48;101.06;0.96;143.92;111.37;102.09
Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;4.04;4.24;100.51;90.66;1.02;83.57;90.93;101.63
Sulawesi Utara;Kab. Kepulauan Sangihe;8.17;8.99;101.35;92.25;1.14;115.65;70.5;103.1
Sulawesi Utara;Kab. Kepulauan Talaud;3.62;3.77;100.77;99.08;0.87;93.1;93.69;103.83
Sulawesi Utara;Kab. Minahasa;8.47;9.41;102.1;100.29;3.86;123.87;110.97;99.25
Sulawesi Utara;Kab. Minahasa Selatan;3.2;3.4;104.98;102.7;2.13;119.56;118.64;98.39
Sulawesi Utara;Kab. Minahasa Tenggara;1.8;1.83;91.75;91.83;1.07;71.23;70.79;99.31
Sulawesi Utara;Kab. Minahasa Utara;11.96;13.75;103.33;106.89;7.9;124.19;132.27;103.64
Sulawesi Utara;Kota Bitung;9.31;10.45;105.91;121.38;7.11;76.59;79.83;123.81
Sulawesi Utara;Kota Kotamobagu;18.44;22.8;104.54;103.1;3.87;115.36;95.65;102.49
Sulawesi Utara;Kota Manado;26.24;36.26;93.08;87.72;23.74;75.62;84.84;99.56
Sulawesi Utara;Kota Tomohon;7.41;8.13;96.6;96.34;4.7;73.88;79.14;103.65
Sumatera Barat;Kab. Agam;10.54;11.82;95.84;91.26;3.19;70.33;60.91;101.19
Sumatera Barat;Kab. Dharmasraya;11.42;13.07;102.25;90.49;2.53;114.3;104.02;99.36
Sumatera Barat;Kab. Kepulauan Mentawai;5.19;5.52;100.33;98.11;0.92;94.96;140.35;102.17
Sumatera Barat;Kab. Lima Puluh Kota;8.08;8.82;100.95;94.96;2.67;93.0;75.75;96.68
Sumatera Barat;Kab. Padang Pariaman;10.73;12.02;100.17;91.99;4.45;104.87;93.97;100.85
Sumatera Barat;Kab. Pasaman;10.05;11.22;99.1;94.71;1.16;97.94;97.72;102.63
Sumatera Barat;Kab. Pasaman Barat;11.5;13.03;98.91;94.23;2.81;96.72;85.41;104.02
Sumatera Barat;Kab. Pesisir Selatan;9.28;10.28;101.89;96.12;1.72;110.94;103.42;98.37
Sumatera Barat;Kab. Sijunjung;11.35;12.84;102.33;95.83;1.76;107.66;101.27;104.39
Sumatera Barat;Kab. Solok;7.54;8.16;100.52;97.18;1.99;105.38;110.22;100.59
Sumatera Barat;Kab. Solok Selatan;10.58;11.99;101.86;97.57;1.33;118.3;85.64;104.53
Sumatera Barat;Kab. Tanah Datar;12.02;13.7;101.21;97.22;2.13;107.76;101.42;100.65
Sumatera Barat;Kota Bukit Tinggi;17.41;21.09;94.11;90.08;7.31;76.58;97.33;106.26
Sumatera Barat;Kota Padang;28.51;39.95;89.91;90.17;21.1;70.94;65.77;100.61
Sumatera Barat;Kota Padang Panjang;18.58;23.02;101.11;93.28;1.88;105.47;102.83;101.83
Sumatera Barat;Kota Pariaman;6.17;6.65;96.89;91.6;2.29;65.47;118.97;98.94
Sumatera Barat;Kota Payakumbuh;16.62;19.99;103.83;95.08;3.11;109.94;111.09;98.91
Sumatera Barat;Kota Sawahlunto;9.9;10.99;99.82;88.55;1.35;85.52;105.32;100.29
Sumatera Barat;Kota Solok;7.61;8.32;100.89;90.07;2.55;95.66;114.16;113.02
Sumatera Selatan;Kab. Banyuasin;10.86;12.92;109.24;107.86;7.04;99.73;93.56;99.94
Sumatera Selatan;Kab. Empat Lawang;4.42;4.68;97.26;97.18;0.93;41.89;24.54;90.59
Sumatera Selatan;Kab. Lahat;6.61;7.28;124.18;126.45;2.28;134.33;82.21;103.23
Sumatera Selatan;Kab. Muara Enim;11.54;13.11;118.63;120.19;3.87;142.07;150.91;108.6
Sumatera Selatan;Kab. Musi Banyuasin;9.7;10.75;129.54;127.39;2.27;96.58;93.62;95.15
Sumatera Selatan;Kab. Musi Rawas;6.87;7.38;131.79;133.74;1.52;44.13;15.79;102.17
Sumatera Selatan;Kab. Musi Rawas Utara;4.94;5.42;111.27;117.44;1.43;118.02;107.87;108.27
Sumatera Selatan;Kab. OKU Selatan;4.31;4.54;98.35;97.64;1.35;92.84;91.69;101.65
Sumatera Selatan;Kab. OKU Timur;6.26;6.77;111.6;113.67;2.46;122.08;105.85;101.57
Sumatera Selatan;Kab. Ogan Ilir;8.08;8.8;106.43;110.41;3.53;68.9;51.7;109.99
Sumatera Selatan;Kab. Ogan Komering Ilir;7.21;7.86;107.67;105.7;3.3;93.88;105.56;100.47
Sumatera Selatan;Kab. Ogan Komering Ulu;8.05;9.21;103.07;91.88;3.84;70.94;69.24;92.87
Sumatera Selatan;Kab. Penukal Abab Lematang Ilir;4.72;5.0;105.25;108.36;1.88;97.85;98.8;122.38
Sumatera Selatan;Kota Lubuk Linggau;12.54;14.35;109.04;113.02;5.41;109.72;94.71;99.51
Sumatera Selatan;Kota Pagar Alam;8.64;9.51;112.6;113.22;1.33;123.0;119.29;104.47
Sumatera Selatan;Kota Palembang;34.39;58.99;103.22;97.16;26.96;93.67;91.2;97.22
Sumatera Selatan;Kota Prabumulih;10.24;11.49;148.01;128.98;3.84;156.82;193.57;97.17
Sumatera Utara;Kab. Asahan;9.47;10.62;105.07;104.09;4.67;101.51;88.95;98.92
Sumatera Utara;Kab. Batu Bara;10.65;12.08;99.12;97.03;8.19;98.5;94.55;103.13
Sumatera Utara;Kab. Dairi;7.14;7.77;102.88;100.02;1.72;107.89;83.3;103.7
Sumatera Utara;Kab. Deli Serdang;27.2;37.38;88.99;88.71;20.71;68.15;64.96;100.31
Sumatera Utara;Kab. Humbang Hasundutan;6.77;7.51;99.27;97.5;1.41;85.75;97.55;103.5
Sumatera Utara;Kab. Karo;7.25;7.91;103.96;103.88;4.11;88.09;100.67;100.36
Sumatera Utara;Kab. Labuhanbatu;14.43;17.07;99.49;97.65;4.96;84.07;61.28;100.01
Sumatera Utara;Kab. Labuhanbatu Selatan;6.22;6.66;105.24;103.06;3.03;89.23;76.69;102.3
Sumatera Utara;Kab. Labuhanbatu Utara;5.31;5.67;104.15;99.46;2.93;105.84;103.76;106.28
Sumatera Utara;Kab. Langkat;10.53;11.99;121.7;121.43;8.6;150.16;172.7;99.63
Sumatera Utara;Kab. Mandailing Natal;7.24;7.9;102.21;98.66;2.76;109.97;139.47;99.79
Sumatera Utara;Kab. Nias;12.37;14.21;108.87;100.44;0.95;155.49;171.09;96.87
Sumatera Utara;Kab. Nias Barat;2.05;2.11;107.34;101.92;0.77;86.6;89.4;97.87
Sumatera Utara;Kab. Nias Selatan;1.65;1.69;102.71;95.76;0.91;129.76;147.79;93.11
Sumatera Utara;Kab. Nias Utara;1.77;1.82;104.42;97.38;0.62;86.82;57.37;98.67
Sumatera Utara;Kab. Padang Lawas;4.03;4.24;100.73;95.53;1.84;65.31;44.95;97.88
Sumatera Utara;Kab. Padang Lawas Utara;3.95;4.15;102.69;99.2;1.59;116.62;122.05;97.79
Sumatera Utara;Kab. Pakpak Bharat;3.63;3.79;102.07;91.06;0.52;107.48;104.2;95.88
Sumatera Utara;Kab. Samosir;8.02;8.81;98.97;98.63;2.46;92.17;85.9;101.47
Sumatera Utara;Kab. Serdang Bedagai;8.8;9.78;102.55;96.9;5.73;96.47;102.21;94.67
Sumatera Utara;Kab. Simalungun;7.14;7.84;100.51;100.04;4.88;81.22;94.7;103.16
Sumatera Utara;Kab. Tapanuli Selatan;10.16;11.87;111.48;109.1;2.6;138.49;127.26;113.61
Sumatera Utara;Kab. Tapanuli Tengah;6.65;7.18;101.57;96.28;2.18;93.29;98.63;96.75
Sumatera Utara;Kab. Tapanuli Utara;9.63;10.86;99.1;94.13;1.97;82.59;91.4;98.03
Sumatera Utara;Kab. Toba;7.85;8.59;100.44;97.38;4.51;106.34;96.25;100.76
Sumatera Utara;Kota Binjai;12.31;14.24;90.69;91.02;7.89;49.0;58.43;100.07
Sumatera Utara;Kota Gunungsitoli;3.6;3.79;103.55;105.9;2.74;69.6;85.99;106.33
Sumatera Utara;Kota Medan;42.1;74.91;79.8;79.84;36.33;68.46;68.79;108.27
Sumatera Utara;Kota Padang Sidempuan;8.32;9.18;99.4;92.68;2.97;71.38;87.24;108.41
Sumatera Utara;Kota Pematang Siantar;14.73;17.49;100.1;99.65;8.66;86.37;100.71;105.11
Sumatera Utara;Kota Sibolga;14.16;16.7;103.18;99.83;2.11;88.95;111.82;112.58
Sumatera Utara;Kota Tanjung Balai;11.48;13.16;99.51;96.26;3.15;97.42;95.91;102.84
Sumatera Utara;Kota Tebing Tinggi;13.97;16.47;94.54;90.97;5.95;85.96;108.06;96.75
