provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Jambi;Kab. Kerinci;4.57;4.83;103.4;100.19;1.39;196.17;123.2;100.3
Jambi;Kab. Merangin;6.8;7.38;102.03;96.32;2.19;86.45;68.67;95.48
Jambi;Kab. Muaro Jambi;7.8;8.53;103.19;98.69;5.34;118.18;133.35;98.75
Jambi;Kab. Sarolangun;4.71;4.98;102.98;97.25;1.77;75.35;81.53;99.87
Jambi;Kab. Tanjung Jabung Barat;8.63;9.44;109.22;121.0;2.38;111.0;109.79;117.18
Jambi;Kab. Tanjung Jabung Timur;5.26;5.55;104.05;98.64;1.75;108.51;95.35;102.24
Jambi;Kab. Tebo;6.79;7.43;108.26;107.89;2.0;99.88;122.7;100.88
Jambi;Kota Jambi;26.97;36.93;98.24;98.61;19.56;87.02;91.63;103.46
Jambi;Kota Sungai Penuh;9.14;10.13;97.49;95.68;1.2;69.31;69.32;103.61
Jawa Barat;Kab. Bandung;20.38;25.79;133.59;119.99;10.32;100.49;90.44;101.19
Jawa Barat;Kab. Bandung Barat;22.94;29.77;92.07;89.16;16.69;64.57;94.42;98.42
Jawa Barat;Kab. Bekasi;43.47;76.9;108.83;98.04;35.94;104.55;103.08;102.2
Jawa Barat;Kab. Bogor;40.74;69.72;113.91;104.62;28.81;115.78;112.13;98.75
Jawa Barat;Kab. Ciamis;9.84;10.93;117.93;109.8;2.85;108.21;107.21;101.16
Jawa Barat;Kab. Cianjur;15.18;18.44;99.97;97.6;6.39;83.25;110.58;102.24
Jawa Barat;Kab. Cirebon;18.53;22.75;115.24;115.43;8.18;91.82;101.74;102.87
Jawa Barat;Kab. Garut;11.2;12.69;109.47;105.79;3.64;101.6;101.08;100.68
Jawa Barat;Kab. Indramayu;17.81;21.89;100.94;98.44;5.38;104.96;131.3;101.38
Jawa Barat;Kab. Karawang;32.64;49.51;103.56;97.79;25.98;103.96;105.97;100.14
Jawa Barat;Kab. Kuningan;10.77;12.31;99.62;100.22;4.31;56.67;82.15;99.66
Jawa Barat;Kab. Majalengka;17.51;21.23;89.4;89.15;5.14;90.83;80.63;100.05
Jawa Barat;Kab. Pangandaran;18.2;22.24;138.73;136.6;5.72;101.29;67.32;100.7
Jawa Barat;Kab. Purwakarta;23.39;30.54;94.77;93.44;14.26;72.74;69.65;100.57
Jawa Barat;Kab. Subang;18.09;22.42;114.98;109.62;9.55;86.93;88.4;98.11
Jawa Barat;Kab. Sukabumi;17.33;21.1;105.77;104.82;6.81;112.91;102.57;100.31
Jawa Barat;Kab. Sumedang;18.23;22.3;101.73;104.46;7.83;82.99;76.74;102.62
Jawa Barat;Kab. Tasikmalaya;9.49;10.52;103.99;101.51;2.93;86.17;101.93;98.67
Jawa Barat;Kota Bandung;42.5;74.0;100.46;93.66;33.13;91.38;95.15;97.68
Jawa Barat;Kota Banjar;17.33;20.96;105.45;102.63;2.69;85.1;100.48;100.41
Jawa Barat;Kota Bekasi;44.45;80.03;105.91;108.05;34.76;87.74;87.0;104.39
